Nom beneficiari;Descripció acció;Tipus d'acord;Import;Partida pressupostària;Motius
RCR BUNKA FUNDACIÓ PRIVADA;Anxiu digital Fons fotogràfic Hisao Suzuki;Denegat;0,00 €;7495 D/4820001034411/0000;-
Associació cultural telenoika;Activitats Telenoika 2024;Concedit;23.946,00 €;7495 D/4820001034411/0000;-
ASSOCIACIÓ CULTURAL BINARI;Binyal i altres activitats anuals;Concedit;5.248,00 €;7495 D/4820001034411/0000;-
Oliveras Fontas, Jessica;Algun en Abstracció: una Immersió Artística al Patrimoni Industrial de Sant Joan les Fonts;Denegat;0,00 €;7495 D/4820001034411/0000;-
Grisart Fotografia SLU;Grisart Live;Concedit;9.315,00 €;7495 D/4820001034411/0000;-
Centre d'art la Rectoria (Fundació La Rectoria de Vilamajor Fundació Privada);Activitat 2024;Concedit;3.068,00 €;7495/D14810001034411/0000;-
Associació El Casal de Bellvit de Piorat;Mural plaça Casal;Denegat;0,00 €; -;Puntualització inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
TRANSFORMER SCCL;EL FEAT PEL FET;Denegat;0,00 €; -;Puntualització inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
CLONFACTORY, S.L.U.;BATECS;Denegat;0,00 €; -;Puntualització inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ GESTIÓ INTEGRAL SERVEIS SOCIOCULTURALS IDEA;CAN CLOS;Denegat;0,00 €; -;Puntualització inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ FOTO TORRELLEVA;Exposicions fotogràfiques;Denegat;0,00 €; -;Puntualització inferior a la mínima exigida
Fundació Photographic social Vision;Beca Joana Blarres per a joves fotoperiodistes 2024;Concedit;35.224,00 €;7495/D14810001034411/0000;-
ARSGAMES;Gametripla - experimentacions lúdicas entorno al archivo;Concedit;10.767,00 €;7495/D14820001034411/0000;-
Cooperativa de Documentalisme Social de Barcelona;Fotografia i Drets Humans. Campanya d'exposicions i activitats de co-creació 2024;Concedit;15.654,00 €;7495/D14820001034411/0000;-
Associació Lliveneida per a les Arts i Cultures en Xarxa;MATRIX CULTURA 2024;Concedit;20.393,00 €;7495/D14820001034411/0000;-
A Cord;PROGRAMACIÓ 4 COBERT: PROGRAMA DIMPLÚS I ANÀLISI DE NARRATIVES VISUALS AMB PERSPECTIVA DE GÈNERE;Concedit;27.098,00 €;7495/D14820001034411/0000;-
ACADEMIA DE BELLES ARTS DE SABADELL FUNDACIÓ PRIVADA;ART EMERGENT SABADELL 2024;Concedit;4.508,00 €;7495/D14810001034411/0000;-
Ricart Masip, Marta;El gest i la paraula;Concedit;3.995,00 €;7495/D700001034411/0000;-
Diliàcia SL;Programa de recerca non-profit Diliàcia 2024;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ PUPILA;Llums, càmera i acció! Formació en arts visuals a les escoles;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Associació sinapsis.projectes d'art contemporani;POLIEDRICA;Concedit;12.000,00 €;7495 D/4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Associació Urati15;Resiència política Vol.1;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Associació la casa urbana;Cultura Híbrida: Innovació i Dinamització de les Arts Visuals;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ INTERSECCIONS;PARAGUAIOSUMID, DISPOSITIU DE PROJECCIÓ DE L'ART DE PERFORMANCE CATALÀ EMERGENT;Concedit;8.560,00 €;7495 D/4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Schmitz Coll, Swen;Encyclopèdia Mur 2024: cinc anys d'un projecte singular i participatiu a Ponent;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Gay Marin, Eugeni;El Observatori: un laboratori didàctic especialitzat en fotografia d'autor i narrativa visual.;Concedit;24.925,00 €;7495 D/4700001034411/0000;
Fundació Arranz-Bravo;Programació d'Art Contemporani 2024;Concedit;11.004,00 €;7495 D/4810001034411/0000;
Cuevas Orteu, Margot;Programa raccoon projects 2024;Concedit;2.186,00 €;7495 D/4700001034411/0000;
EXPAL.LIMENT AMB L'ART;Grp d'Aprenentatge;Denegat;0,00 €; ;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ CULTURAL NIU;DIBUIXAR MÚSICA @Niu;Concedit;19.859,00 €;7495 D/4820001034411/0000;
EXPAL.LIMENT AMB L'ART;Suport per artistes: blind.wik/projcte de mediació;Concedit;3.436,00 €;7495 D/4820001034411/0000;
Associació Rebinat;De quan les aigües es van tornar camins;Concedit;4.524,00 €;7495 D/A820001034411/0000;-
Fundació privada espai guinovart;MURMURS;Concedit;13.830,00 €;7495 D/A820001034411/0000;-
TRANSFORMER, SCCL;L'ALCA - Programa de cicles de residència artística amb co-creació comunitària;Concedit;23.460,00 €;7495 D/A810001034411/0000;-
Cercle Artistic Sant Lluc;Programació 2024;Concedit;15.323,00 €;7495 D/A820001034411/0000;-
Ass. Moviment d'Alliberament Digital;Puntò Raya 2024;Concedit;33.883,00 €;7495 D/A820001034411/0000;-
Fundació Privada José I. Suñol Soler;Programació d'exposicions i activitats a la Fundació Suñol 2024;Concedit;33.166,00 €;7495 D/A810001034411/0000;-
PLATAFORMA CURATORIAL PARA EL ARTE CONTEMPORANEO BAR;BAR project Residency - Residències Internacionals per a artistes i comissaris;Concedit;14.386,00 €;7495 D/A820001034411/0000;-
QUEPO SCCL;QUI SOC;Concedit;10.253,00 €;7495 D/A820001034411/0000;-
PLATAFORMA CURATORIAL PARA EL ARTE CONTEMPORANEO BAR;BAR TOOL Training Program;Concedit;6.000,00 €;7495 D/A820001034411/0000;-
ASSOCIACIÓ CULTURAL SITESIZE;Museu Viu de les conques metropolitanes. HIDROcultos i salvaguarda;Concedit;13.199,00 €;7495 D/A820001034411/0000;-
Associació Hamaca;Hamaca 2024;Concedit;50.000,00 €;7495 D/A820001034411/0000;-
DAUGHTERS & SONS OF PIÑOL S.L;Deixebles de l'Innocent;Denegat;0,00 €;7495 D/A820001034411/0000;-
Cultural Rizoma SCCL;Programació Rizoma 2024;Concedit;11.286,00 €;7495 D/A820001034411/0000;-
Fundació Contorno Urbano;Mòdul territorial;Concedit;29.181,00 €;7495 D/4810001034411/0000;-
Escalé Subirós, Rai;“Microsports” (Cicle d'exposicions bi mensual a la sala d'exposicions de l'Associació A.I.G.U.A.);Denegat;0,00 €; -;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
CENTRE DE LLECTURA DE REUS;ART AL CENTRE DE LECTURA (CREACIÓ ARTÍSTICA, DIVULGACIÓ I FORMACIÓ) 2024;Concedit;6.032,00 €;7495 D/4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
MoNA New School S.L.;Programa d'arts visuals de MoNA Espai Cultural;Denegat;0,00 €; -;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
RODRIGO MONTERO, MEDIACIONTS;INTERFICIES 2024: Diàlegs entre recerca artística, salut comunitària i drets socials;Concedit;10.257,00 €;7495 D/4810001034411/0000;-
Caminal Saparas, Roser;Arquitectes Universitaris;Concedit;3.242,00 €;7495 D/4700001034411/0000;-
Associació Cordova Galeria;Cordova programa 2024;Concedit;28.680,00 €;7495 D/4810001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Tarragó Guerra, Mario;LOVYU;Denegat;0,00 €; -;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Associació Cultural de Joves Artistes d'audiovisuals del sXXI;MUTA Visuals - Programa 2024;Denegat;0,00 €; -;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Roser de Foc SCCL;Primer programa de residència artística Roser de Foc 2024;Denegat;6.614,00 €;7495 D/4810001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
ASSOCIACIÓ NEGRA MOSCA;ESPAI DE CREACIÓ NEGRA MOSCA;Concedit;20.000,00 €;7495 D/4810001034411/0000;-
ANTES Associació Cultural de Creació Contemporània;Agora, Escola Oberta d'Experimentació 2024;Denegat;0,00 €; -;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Iluвпн Accions Audiovisuals;Mostra de fotografia documental de gran format al carrer mitgeres/24;Concedit;7.718,00;7495 D/4700001034411/0000;-
Associació Halfhouse;Programa activitats 2024;Concedit;10.563,00;7495 D/4820001034411/0000;-
Fundació Photographic Social Vision;Programa anual d'exposicions i activitats culturals de la Fundació Photographic Social Vision;Concedit;33.992,00;7495 D/4810001034411/0000;-
Fundació Eina;Programació pública enllestida 2024. Conferències, exposicions i publicacions;Concedit;22.955,00;7495 D/4810001034411/0000;-
ASSOCIACIÓ NEGRA MOSCA;PROGRAMACIÓ CULTURAL NEGRA MOSCA;Concedit;1.714,00;7495 D/4820001034411/0000;-
Associació Gresol Biblioteca Cultura i Centre d'Estudis Creatius;PROGRAMA D'ACTIVITATS 2024;Concedit;5.532,00;7495 D/4820001034411/0000;-
GATNAU JOANIQUE, XEMA;Exposició d'art: «Metamorfosis dels residus d'una Fira d'Art en Conceptual»;Denegat;0,00;7495 D/4700001034411/0000;-
Beltran Flores, Erick;Lumbung Press - impremta col·laborativa i col·lectiva;Denegat;0,00;7495 D/4700001034411/0000;-
LABORATORI D'ARTS I NAUS S. L.;Programa d'exposicions a Nídar;Denegat;0,00;7495 D/4700001034411/0000;-
Ymbernon Grau, David;PIS FUNDACIÓ «YMBERON AUGÈ» activitats 2024;Denegat;0,00;7495 D/4700001034411/0000;-
ASSOCIACIÓ CERAMIQUES DE CATALUNYA;CeràmicART 2024: Desenvolupament, impuls i difusió de la ceràmica contemporània a Catalunya;Concedit;5.748,00;7495 D/4820001034411/0000;-
Associació Cultural L'Hurba;Capacitació d'artistes visuals;Concedit;17.690,00;7495 D/4700001034411/0000;-
Comunitat Espai Girona S.L;DICREA3;Denegat;0,00;7495 D/4700001034411/0000;-
Fundació Tecnonacups Mataró-Maresme;Històries del Punt. Cossos, veus i arxiu conjugat la dramatúrgia d'una creació de vídeo-dansa;Denegat;0,00;7495 D/4700001034411/0000;-
Associació Cultural La noia del monyo;Espais Públics;Concedit;10.253,00 €;7495 D/A700001034411/0000;-
MOUCHEZ, RODRIGUEZ;AGUAS 2024;Concedit;6.749,00 €;7495 D/A700001034411/0000;-
Fundació Quo Artis;Residència de recerca artística del projecte Tilling Roots & Seeds. Risc de biodiversitat i un futur;Concedit;4.980,00 €;7495 D/A810001034411/0000;-
PHISNERIG SCCL;Territoris Compartits;Concedit;4.407,00 €;7495 D/A820001034411/0000;-
FUNDAÇO FOTO COLECTANIA;PROGRAMACIÓ D'EXPOSICIONS I ACTIVITATS 2024;Concedit;50.000,00 €;7495 D/A810001034411/0000;-
Cal a Rosa, Centre d'art SL;Grafica, edició i context (programa residència) i Estampa la Dansa (programa pedagògic);Concedit;18.567,00 €;7495 D/A700001034411/0000;-
Associació Plataforma Vírtices;Mil Anys de Cels;Concedit;4.275,00 €;7495 D/A820001034411/0000;-
Ass. promotora del centre de cultura de dones Francesca Bonnemaison;LaBonne. Programa de Residències, Exposicions i Azn;Denegat;25.014,00 €;7495 D/A820001034411/0000;-
CULTURA I CONFLICTE;MORIU-VOS;Concedit;0,00 €;7495 D/A820001034411/0000;-
LaFundició, SCCL;Prat 11, habitar com a pràctica artística;Concedit;33.144,00 €;7495 D/A820001034411/0000;-
NAIFICATORY LAB S.L.;ARTE VIVO: BIOMATERIALS APLICADOS A LAS ARTES VISUALES;Denegat;0,00 €;7495 D/A820001034411/0000;-
Amics de Ràdio Televisió Cardedeu;Docs Cardedeu: Taló documental per a joves;Denegat;0,00 €;7495 D/A820001034411/0000;-
Associació cultural Malapais;Programa expositiu de l'associació cultural Malapais;Concedit;16.786,00 €;7495 D/A820001034411/0000;-
ARBAR (Associació per a la Recerca Biocultural i Artística de Rodes);PROGRAMÀ PROJECTES PERFORMATIVIS I POÈTICS ARBAR 2024;Concedit;7.004,00 €;7495 D/A820001034411/0000;-
Associació Cultural Instittut d'Estudis Fotogràfics de Catalunya;Programació anual d'activitats culturals de l'IEFC.;Concedit;7.029,00 €;7495/D4820001034411/0000;-
Associació Magneti Studio;Magneti Studio Residencies 2024????;Denegat;0,00 €;7495/D4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Ortiz Artuño, Eugenia;L'ARXIU SINÀPTIC Metodologies i eines alternatives per al suport de la terapia de les persones amb A;Denegat;0,00 €;7495/D4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Llibera, Pere;Treu-me el dilluns;Denegat;0,00 €;7495/D4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
Riba Vilardell, Prósper;Glass Studio Movement, una inspiració per la creació contemporània;Denegat;0,00 €;7495/D4820001034411/0000;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques
GATNAU, XEMA;Com Arrontar els Nous Nacionalismes Identitaris: Estratègies Bàsiques des de l'Àmbit de la Cultura;Denegat;0,00 €;7495/D4820001034411/0000;-
LA PORTADORA D'ART SCP;Cal Gras: produccions visuals;Concedit;7.644,00 €;7495/D4700001034411/0000;-
Associació MiRu (Mirada Ruminant);Formacions Rumiant Mirades 2024;Concedit;9.300,00 €;7495/D4820001034411/0000;-
Associació Cultural les Narcises;Escola Internacional de Performance;Concedit;6.647,00 €;7495/D4820001034411/0000;-
Associació Cultural Malpais;Dinamització de l'espai de creació de Malpàs;Concedit;5.825,00 €;7495/D4820001034411/0000;-
14 Sitambara SL;Programa de residències artístiques a Chiquita Room - 2024;Concedit;12.495,00 €;7495/D4700001034411/0000;-
Fundació Quo Artis;Un mar al limit. Exposició final en format presencial del projecte A Sea Change;Concedit;4.095,00 €;7495/D4810001034411/0000;-
MOUCHEZ, RODRIGUE;AGUAS 2024 SEMINARIOS;Concedit;1.408,00 €;7495/D4700001034411/0000;-
FUNDACIÓ CERDANYA CINEMA;PYRENE: RESIDÈNCIA D'ARTISTES VISUALS DEL PIRINEU;Concedit;13.207,00 €;7495/D4810001034411/0000;-
de la Mota, Angels;Sense títol;Dengat;0,00 €;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques;
IDENSTITAT ASSOCIACIÓ D'ART CONTEMPORANI;IDENSTITAT ACTIVITATS I PROJECTES 2024;Concedit;40.312,00 €;7495 D/482200010344111/0000;
Villaplana Casaponsa, Laura;Benzos. I tu, on els guardians?;Dengat;0,00 €;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques;
Associació iniciatives culturals Carles Amill;Cicle reflexiu sobre el concepte BLACK ( negre) en totes les seves convocatòries;Concedit;7.547,00 €;7495 D/482200010344111/0000;
de Rivera Marinell-lo, Bea;Mostra itinerant "el Jardí Ambulant";Dengat;0,00 €;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques;
Efecte Mosquit Coop Scl;Projecte Mosquit;Concedit;6.805,00 €;7495 D/482200010344111/0000;
BRAVA PERFORMING ARTS S.L.;BRAVA ARTS WEEKEND;Dengat;0,00 €;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques;
SINDICAT DE LA IMATGE UPIFC;30è aniversari UPIFC;Dengat;0,00 €;Puntuació inferior a la mínima exigida, d'acord amb el punt 7.2 de les bases específiques;
